[4652] 12 Sep 10:28:10.505 - 1 clients connected (0 slaves), 652512 bytes in use
[4652] 12 Sep 10:28:15.513 - 1 clients connected (0 slaves), 652512 bytes in use
[4652] 12 Sep 10:28:20.514 - 1 clients connected (0 slaves), 652512 bytes in use
[4652] 12 Sep 10:28:25.517 - 1 clients connected (0 slaves), 652512 bytes in use
[4652] 12 Sep 10:28:26.225 - Reading from client: 远程主机强迫关闭了一个现有的连接。
[4652] 12 Sep 10:28:30.526 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:28:35.530 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:28:40.531 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:28:45.568 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:28:50.576 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:28:55.584 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:00.600 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:05.610 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:10.628 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:15.635 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:20.642 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:25.647 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:30.651 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:35.652 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:40.653 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:45.669 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:50.702 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:29:55.722 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:00.723 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:05.732 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:10.744 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:15.746 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:20.747 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:25.754 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:30.756 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:35.765 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:40.794 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:45.838 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:50.840 - 0 clients connected (0 slaves), 631648 bytes in use
[4652] 12 Sep 10:30:55.844 - 0 clients connected (0 slaves), 631648 bytes in use
